LOC NO,LOC STREET,LOC CITY,LOC STATE,LOC ZIP,DBA,FEIN/SSN,LIC TEXT2 (LIC 1),CHG 1 DESC (LIC 1),CHG 1 LONG DESC (LIC 1),CYCLE CODE (LIC 2),CYCLE DESC (LIC 2),LIC TEXT1 (LIC 2),LIC TEXT2 (LIC 2),LIC TEXT4 (LIC 2),CYCLE DESC (LIC 3),LIC TEXT2 (LIC 3),CHG 1 DESC (LIC 3),CHG 1 LONG DESC (LIC 3),CYCLE CODE (LIC 4),CYCLE DESC (LIC 4),LIC TEXT1 (LIC 4),LIC TEXT2 (LIC 4),LIC TEXT4 (LIC 4),CYCLE CODE (LIC 5),CYCLE DESC (LIC 5),LIC TEXT1 (LIC 5),LIC TEXT2 (LIC 5),QTY STAT CD (LIC 5)
676,COLLINS,JOLIET,IL,60432,EL PODER DE LA VIDA,35-2593104,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
2308,ESSINGTON,JOLIET,IL,60435,WESTERN TOBACCO,82-1230375,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,
2781,BLACK,JOLIET,IL,60435,SOM ZA THAI AND ASIAN KITCHEN,82-1181371,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
2352,GLENWOOD,JOLIET,IL,60435,CHICAGO DREAMS FOOD AND LIQUOR,82-1199587,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS C PACKAGE,,BUSINESS LICENSE,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
2225,JEFFERSON,JOLIET,IL,60435,HOUSE OF VALOR FITNESS AND NUTRITION,81-5047433,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,
4,MIDLAND,JOLIET,IL,60435,NICO'S KITCHEN,82-1712090,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
0,OUT OF AREA,,,,TERESA'S FOODS,46-2126289,WHOLESALE PURVEYOR 2ND CLASS,WHLSL 2ND,WHOLESALE PURVEYOR 2ND CLASS LICENSE,,,,,,,,,,,,,,,,,,,
1110,HOUBOLT,JOLIET,IL,60431,PUFF TOBACCO,82-1757289,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,
710,CASS,JOLIET,IL,60432,FALCON SHELL,37-1860959,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,GAS STATION,GAS STATN,GAS STATION LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,
3585,HENNEPIN,JOLIET,IL,60431,BODY TECH TOTAL FITNESS,82-1765519,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
2095,OAK LEAF,JOLIET,IL,60436,CP CONCEPTS,80-0743686,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES/SHOP,,,,,,,,,,,,,,,
1910,BRIGGS,JOLIET,IL,60433,CATERING BY KNIGHT,36-4228657,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
1395,LARKIN,JOLIET,IL,60435,WILL COUNTY HABITAT FOR HUMANITY RESTORE,36-3564555,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,
136,CASS,JOLIET,IL,60432,JOLIET DISCOUNT ZONE,82-2103627,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,,,,,,,,
2211,RT 59,PLAINFIELD,IL,60586,CHEAP CHEAP LIQUOR,80-0373469,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS C PACKAGE,CLASS C,CLASS C PACKAGE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,
1407,ESSINGTON,JOLIET,IL,60435,CUTTING EDGE CATERING,36-3874883,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,SEAT
227,GOUGAR,JOLIET,IL,60432,CUTTING EDGE CATERING,36-3874883,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL
1776,MCDONOUGH,JOLIET,IL,60436,BOB EVANS RESTAURANTS 84,81-5225177,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
1351,LARKIN,JOLIET,IL,60435,TOBACCO WORLD,82-2066348,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,
900,WASHINGTON,JOLIET,IL,60433,ACE IRON & METALS,36-2786077,RECYCLING AGENT,RECYCLING,RECYCLING AGENT LICENSE,,,,,,,,,,,,,,,,,,,
214,OTTAWA,JOLIET,IL,60432,PREMIER EVENTS & BANQUETS,82-1990275,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS B PREMISES,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL
457,CASS,JOLIET,IL,60432,T MOBILE,20-2444069,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,
2504,JEFFERSON,JOLIET,IL,60435,MURPHY EXPRESS 8795,71-0727492,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,HOSE
1215,BROADWAY,JOLIET,IL,60435,CHICAGO STYLE BBQ,82-2146417,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
2885,PLAINFIELD,JOLIET,IL,60435,MCDONALD'S 6561,46-3376690,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
105,BRIGGS,JOLIET,IL,60433,BRIGGS MARKET,82-2044642,COIN VENDING - FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
1301,BROADWAY,JOLIET,IL,60435,MAG APPLIANCE PARTS & SERVICE,N/A,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,,,,,,,,,,,,,,,,,,,
368,JEFFERSON,JOLIET,IL,60435,FUENTE DE LA JUVENTUD,46-0573800,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
927,GARDNER,JOLIET,IL,60433,POMP'S TIRE SERVICE,39-0838986,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,
324,LARKIN,JOLIET,IL,60436,MARATHON OF JOLIET,82-2569884,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,GAS STATION,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL
2323,RT 59,PLAINFIELD,IL,60586,LA MICHOACANA FROZEN,82-2593955,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
3000,JEFFERSON,JOLIET,IL,60435,FLOURISH JUICE CO,82-0666736,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
2250,CHICAGO,JOLIET,IL,60436,CADENCE PREMIER LOGISTICS,32-0429710,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
1110,JEFFERSON,JOLIET,IL,60435,CHU CHU'S SMOKE & GLASS,82-1953824,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,,,,,,,,,,,,,,,,,,,
506,CHICAGO,JOLIET,IL,60432,VIDA ACTIVA Y SALUDABLE,47-2188273,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
3301,MOUND,JOLIET,IL,60436,GOODYEAR COMMERICAL TIRE & SERVICE,34-0253240,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,
3340,MALL LOOP,JOLIET,IL,60431,MRS FIELDS COOKIES,82-2155262,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
0,OUT OF AREA,,,,JUNK PEDDLER - AGUSTIN S LOPEZ,SSN,JUNK PEDDLER,JUNK PDDLL,JUNK PEDDLER LICENSE,,,,,,,,,,,,,,,,,,,
3021,THEODORE,JOLIET,IL,60435,CHO CLEANERS,35-8861726,DRY CLEANER,DRY CLEANR,DRY CLEANER LICENSE,,,,,,,,,,,,,,,,,,,
1987,JEFFERSON,JOLIET,IL,60435,JEFFERSON BP,82-2458106,GAS STATION,GAS STATN,GAS STATION LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
2250,CHICAGO,JOLIET,IL,60436,CADENCE SOCCER & FUTSAL CENTER,81-4079570,COIN VENDING - FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,
1471,ROCK CREEK,JOLIET,IL,60431,HOLIDAY INN & SUITES,47-1763435,CLASS E RESTAURANT OR HOTEL,CLASS E,CLASS E RESTAURANT OR HOTEL,BL,BUSINESS LICENSE,BUSINESS LICENSE,HOTEL/MOTEL,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
350,WARD,JOLIET,IL,60432,SOL CARINO BODY WORK,82-2856220,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES/SHOP,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,PLAYFAIR,35-1586942,COIN VENDING - BULK,COIN BULK,COIN VENDING - BULK LICENSE,,,,,,,,,,,,,,,,,,,
451,COLLINS,JOLIET,IL,60432,EL CONITO ICE CREAM,20-4779353,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,A-1 AMUSEMENTS,00-0000000,COIN VENDING - AMUSEMENT,CN AMSNT,COIN VENDING - AMUSEMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-BULK,,,,,,,,,,,,,,,
333,MADISON,JOLIET,IL,60435,LORI'S GIFTS 540,75-2217016,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,BOB KING AUCTIONS,36-4212688,AUCTIONEER,AUCTIONEER,AUCTIONEER LICENSE,,,,,,,,,,,,,,,,,,,
712,JEFFERSON,JOLIET,IL,60435,STANG KELLY WINE & LIQUORS,38-4044185,CLASS C PACKAGE,CLASS C,CLASS C PACKAGE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,
451,RUBY,JOLIET,IL,60435,CHAVEZ AUTO REPAIR,SSN,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,,,,,,,,,,
2319,RT 59,PLAINFIELD,IL,60586,BURNING LEAF CIGARS,82-2049540,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,
314,LARKIN,JOLIET,IL,60436,GERALD AUTO SALES,82-3008327,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,,,,,,,,,,,,,,
312,MANHATTAN,JOLIET,IL,60433,BERNIE'S JERK KITCHEN,82-2304082,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
600,COLLINS,JOLIET,IL,60432,KFC/TACO BELL,27-4280579,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
2323,JEFFERSON,JOLIET,IL,60435,JD BYRIDER,01-0688122,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,,,,,,,,,,,,,,,
2221,RT 59,PLAINFIELD,IL,60586,KFC/TACO BELL,27-4280579,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
116,LARKIN,JOLIET,IL,60435,KFC/TACO BELL,27-4280579,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
121,RICHARDS,JOLIET,IL,60433,SAM FOOD MARKET,82-3105182,TOBACCO DEALER,TOBACCO,TOBACCO DEALER LICENSE FEE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,,,,,,,,,,
214,OTTAWA,JOLIET,IL,60432,DUKES CATERING,36-4360346,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,
2405,ESSINGTON,JOLIET,IL,60435,7-ELEVEN  33905C,82-2040708,CLASS C PACKAGE,CLASS C,CLASS C PACKAGE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,
0,OUT OF AREA,,,,PARK VENDING,36-3150636,COIN VENDING - FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,,,,,,,,,,
270,RUBY,JOLIET,IL,60435,CHINA CHINA RESTAURANT,45-3327306,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
2450,JEFFERSON,JOLIET,IL,60435,BOOKIE MAGEE'S,81-1731997,COIN VENDING - VIDEO POKER,COIN PKR,COIN VENDING - VIDEO POKER LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS V VIDEO GAMING,,LIQUOR LICENSE,CLASS B PREMISES,CLASS B,CLASS B PREMISES,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,EMPL
112,HENDERSON,JOLIET,IL,60432,ELIZALDE AUTOBODY SHOP,37-1871379,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES/SHOP,,,,,,,,,,,,,,,
213,LARKIN,JOLIET,IL,60436,SUPER J J FISH & CHICKEN,36-4782997,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,,,,,,,,,,,,,,
1014,ALANN,JOLIET,IL,60435,JUNK PEDDLER - JAIME ROMO,N/A,JUNK PEDDLER,JUNK PDDLL,JUNK PEDDLER LICENSE,,,,,,,,,,,,,,,,,,,
