"","LOC NO","LOC STREET","LOC CITY","LOC STATE","LOC ZIP","DBA","FEIN/SSN","LIC TEXT2 (LIC 1)","CHG 1 DESC (LIC 1)","CHG 1 LONG DESC (LIC 1)","CYCLE CODE (LIC 2)","CYCLE DESC (LIC 2)","LIC TEXT1 (LIC 2)","LIC TEXT2 (LIC 2)","LIC TEXT4 (LIC 2)","CYCLE DESC (LIC 3)","LIC TEXT2 (LIC 3)","CHG 1 DESC (LIC 3)","CHG 1 LONG DESC (LIC 3)","CYCLE CODE (LIC 4)","CYCLE DESC (LIC 4)","LIC TEXT1 (LIC 4)","LIC TEXT2 (LIC 4)","LIC TEXT4 (LIC 4)","CYCLE CODE (LIC 5)","CYCLE DESC (LIC 5)","LIC TEXT1 (LIC 5)","LIC TEXT2 (LIC 5)","QTY STAT CD (LIC 5)","address...30","lon","lat","address...33"
"1",670,"JACKSON","JOLIET","IL",60432,"LOS TRES HERMANOS","36-3837762","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M VIDEO POKER ONLY",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","670 JACKSON JOLIET IL 60432",-88.0643506,41.5315572,"670 e jackson st, joliet, il 60432, usa"
"2",117,"CENTER","JOLIET","IL",60435,"O'CHARLEY'S IRISH PUB","36-3293144","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT","CLASS M","CLASS M MUSIC/ENTERTAINMENT","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS V VIDEO GAMING",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS G OUTDOOR/GRANDFATHERED",NA,"117 CENTER JOLIET IL 60435",-88.091366,41.5211041,"117 s center st, joliet, il 60436, usa"
"3",3340,"MALL LOOP","JOLIET","IL",60431,"CINEMARK 1044","75-2206284","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","AMUSEMENT- MOVIE THEATER","MV THTR","AMUSEMENT - MOVIE THEATER LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","AMUSEMENT",NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"4",868,"COLLINS","JOLIET","IL",60432,"COLLINS ST AUTO PARTS CO","26-0891885","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PAINT SALES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"868 COLLINS JOLIET IL 60432",-88.0721546,41.5403993,"868 collins st, joliet, il 60432, usa"
"5",2022,"ESSINGTON","JOLIET","IL",60435,"DARCY BUICK GMC","36-3781265","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,"BUSINESS LICENSE","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022 ESSINGTON JOLIET IL 60435",-88.1597846,41.559522,"2022 essington rd, joliet, il 60435, usa"
"6",809,"PLAINFIELD","JOLIET","IL",60435,"CVS PHARMACY 2936","37-1414552","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"809 PLAINFIELD JOLIET IL 60435",-88.1019245,41.5387772,"809 plainfield rd, joliet, il 60435, usa"
"7",308,"WESTERN","JOLIET","IL",60435,"WESTERN FOODS","27-1035918","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"308 WESTERN JOLIET IL 60435",-88.0893299,41.527712,"308 western ave # a, joliet, il 60435, usa"
"8",0,"OUT OF AREA",NA,NA,NA,"NATIONAL ENTERTAINMENT NETWORK","84-1093721","COIN VENDING-BULK","COIN BULK","COIN VENDING - BULK LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","COIN VENDING AMUSEMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"9",1700,"JEFFERSON","JOLIET","IL",60435,"DAIRY QUEEN","36-4427686","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"1700 JEFFERSON JOLIET IL 60435",-88.1225417,41.5223617,"1700 w jefferson st, joliet, il 60435, usa"
"10",0,"OUT OF AREA",NA,NA,NA,"CTM GROUP","01-05722964","COIN VENDING AMUSEMENT","CN AMSNT","COIN VENDING - AMUSEMENT LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"11",0,"OUT OF AREA",NA,NA,NA,"GAMING & ENTERTAINMENT MNGMT - IL LLC","27-3941891","COIN VENDING-VIDEO POKER","COIN PKR","COIN VENDING - VIDEO POKER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"12",1410,"WASHINGTON","JOLIET","IL",60433,"DAIRY QUEEN","20-8497941","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"1410 WASHINGTON JOLIET IL 60433",-88.0470957,41.5222733,"1410 e washington st, joliet, il 60433, usa"
"13",0,"OUT OF AREA",NA,NA,NA,"TIMM ELECTRIC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"14",2219,"JEFFERSON","JOLIET","IL",60435,"STAR INN","26-3300151","HOTEL/MOTEL","HOTEL 2","HOTEL/MOTEL LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","HOTEL/MOTEL",NA,"BUSINESS LICENSE","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2219 JEFFERSON JOLIET IL 60435",-88.135201,41.5233476,"2219 w jefferson st, joliet, il 60435, usa"
"15",229,"CASS","JOLIET","IL",60432,"DAN'S HOMEMADE CANDIES","20-0443396","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"229 CASS JOLIET IL 60432",-88.0756653,41.5281055,"229 e cass st, joliet, il 60432, usa"
"16",0,"OUT OF AREA",NA,NA,NA,"GROOT INDUSTRIES","SSN","MUNICIPAL WASTE HAULER","MUN WASTE","MUNICIPAL WASTE HAULER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"17",0,"OUT OF AREA",NA,NA,NA,"WASTE MANAGEMENT OF ILLINOIS","36-2660859","MUNICIPAL WASTE HAULER","MUN WASTE","MUNICIPAL WASTE HAULER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"18",7158,"CATON FARM","PLAINFIELD","IL",60586,"SUPER TACO","46-3123215","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"7158 CATON FARM PLAINFIELD IL 60586",-88.2571832,41.5637256,"7158 caton farm rd, plainfield, il 60586, usa"
"19",1012,"RICHMOND","JOLIET","IL",60435,"SELLERS & SONS ELECTRICAL CONTRACTORS",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1012 RICHMOND JOLIET IL 60435",-88.1075709,41.5247127,"1012 richmond st, joliet, il 60435, usa"
"20",0,"OUT OF AREA",NA,NA,NA,"SHAMROCK ELECTRIC CO INC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"21",807,"EWING","JOLIET","IL",60432,"JONES ELECTRIC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"807 EWING JOLIET IL 60432",-88.0621695,41.5449335,"807 ewing st, joliet, il 60432, usa"
"22",0,"OUT OF AREA",NA,NA,NA,"ILLINOIS ELECTRICAL SERVICES INC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"23",0,"OUT OF AREA",NA,NA,NA,"GRATE SIGNS INC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE","PERM","INSPECTION LICENSE","PERMITTING","SIGN ERECTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"24",0,"OUT OF AREA",NA,NA,NA,"ELLIOTT ELECTRIC INC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"25",0,"OUT OF AREA",NA,NA,NA,"DRIVAS ELECTRIC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"26",0,"OUT OF AREA",NA,NA,NA,"CLENNON ELECTRIC INC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"27",0,"OUT OF AREA",NA,NA,NA,"CARDINAL ELECTRIC",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"28",3000,"PLAINFIELD","JOLIET","IL",60435,"DIAMANDS FAMILY RESTAURANT","36-3612060","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS E RESTAURANT OR HOTEL","CLASS E","CLASS E RESTAURANT OR HOTEL","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE","EMPL","3000 PLAINFIELD JOLIET IL 60435",-88.1613469,41.5786953,"3000 plainfield rd, joliet, il 60435, usa"
"29",1323,"BASSETT","JOLIET","IL",60431,"LEACH HOMES",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,"*UNKNOWN*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1323 BASSETT JOLIET IL 60431",-88.254359,41.5461167,"1323 bassett dr, joliet, il 60431, usa"
"30",0,"OUT OF AREA",NA,NA,NA,"VITAL SIGNS USA INC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"31",0,"OUT OF AREA",NA,NA,NA,"AURORA SIGN CO",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"32",0,"OUT OF AREA",NA,NA,NA,"FRITZ E-Z SIGN CO",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"33",4708,"CATON FARM","PLAINFIELD","IL",60586,"DUNKIN DONUTS","26-0391953","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"4708 CATON FARM PLAINFIELD IL 60586",-88.1987472,41.5646223,"4708 caton farm rd, plainfield, il 60586, usa"
"34",3340,"MALL LOOP","JOLIET","IL",60431,"T-MOBILE 522899-085","91-1973799","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"35",0,"OUT OF AREA",NA,NA,NA,"CNC GRAPHICS LTD",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"36",0,"OUT OF AREA",NA,NA,NA,"ASI SIGNAGE INNOVATIONS",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"37",0,"OUT OF AREA",NA,NA,NA,"LAMAR ADVERTISING",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"38",400,"CHICAGO","JOLIET","IL",60436,"DUNKIN DONUTS 344303","20-8592458","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"400 CHICAGO JOLIET IL 60436",-88.0805831,41.5166123,"400 s chicago st, joliet, il 60436, usa"
"39",2401,"CHICAGO","JOLIET","IL",60436,"RT 66 FOOD N FUEL","46-2618705","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","GAS STATION","HOSE","2401 CHICAGO JOLIET IL 60436",-88.0816793,41.4801838,"2401 s chicago st, joliet, il 60436, usa"
"40",0,"OUT OF AREA",NA,NA,NA,"DOYLE SIGNS INC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"41",0,"OUT OF AREA",NA,NA,NA,"EXPRESS SIGNS & LIGHTING MAINTENANCE",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"42",0,"OUT OF AREA",NA,NA,NA,"FASTSIGNS",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"43",3011,"PLAINFIELD","JOLIET","IL",60435,"DUNKIN DONUTS BASKIN ROBBINS 336665","81-0614647","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"3011 PLAINFIELD JOLIET IL 60435",-88.1609658,41.579625,"3011 plainfield rd, joliet, il 60435, usa"
"44",0,"OUT OF AREA",NA,NA,NA,"LANDMARK SIGN GROUP INC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"45",0,"OUT OF AREA",NA,NA,NA,"NORTH AMERICAN SIGNS INC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"46",0,"OUT OF AREA",NA,NA,NA,"OLYMPIC SIGNS INC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"47",20,"LARKIN","JOLIET","IL",60436,"DUNKIN DONUTS BASKIN ROBBINS 304027","36-4075736","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"20 LARKIN JOLIET IL 60436",-88.1242006,41.5216276,"20 s larkin ave, joliet, il 60436, usa"
"48",1107,"ESSINGTON","JOLIET","IL",60435,"SIGN A RAMA",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1107 ESSINGTON JOLIET IL 60435",-88.1615489,41.5418262,"1107 essington rd, joliet, il 60435, usa"
"49",0,"OUT OF AREA",NA,NA,NA,"SPIRIT HALLOWEEN SUPERSTORES","75-3052377","VENDOR OTHER","VNDR OTHER","VENDOR - OTHER LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"50",0,"OUT OF AREA",NA,NA,NA,"SOUTH WATER SIGNS LLC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"51",0,"OUT OF AREA",NA,NA,NA,"VAN BRUGGEN SIGNS INC",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"52",1201,"BROADWAY","JOLIET","IL",60435,"GREG SIGNS",NA,"SIGN ERECTOR","SIGN ERECT","SIGN ERECTOR LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1201 BROADWAY JOLIET IL 60435",-88.0865459,41.5455939,"1201 n broadway st, joliet, il 60435, usa"
"53",0,"OUT OF AREA",NA,NA,NA,"EXPERT PLUMBING HEATING AND ELECTRIC",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"54",617,"JACKSON","JOLIET","IL",60432,"DONA CONCHA BAKERY","46-1810552","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"617 JACKSON JOLIET IL 60432",-88.0657018,41.5318628,"617 e jackson st, joliet, il 60432, usa"
"55",1301,"HERKIMER","JOLIET","IL",60432,"SPEEDWAY AUTO PARTS","36-2882150","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,"BUSINESS LICENSE","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1301 HERKIMER JOLIET IL 60432",-88.0745025,41.5492364,"1301 herkimer st, joliet, il 60432, usa"
"56",612,"WATER","JOLIET","IL",60436,"ANDY & LAURIE VENDING","SSN","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"612 WATER JOLIET IL 60436",-88.0865077,41.5118355,"612 water st, joliet, il 60436, usa"
"57",1224,"RICHARDS","JOLIET","IL",60433,"FAMILY DOLLAR  28166","56-2056614","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1224 RICHARDS JOLIET IL 60433",-88.0708077,41.5014446,"1224 richards st, joliet, il 60433, usa"
"58",502,"OHIO","JOLIET","IL",60432,"ECOMFORT HEATING & AIR CONDITIONING",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"502 OHIO JOLIET IL 60432",-88.0699401,41.5333777,"502 ohio st, joliet, il 60432, usa"
"59",0,"OUT OF AREA",NA,NA,NA,"AIR SOLUTION SYSTEMS",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"60",0,"OUT OF AREA",NA,NA,NA,"MIDWEST CLIMATE CONTROL",NA,"HVAC","HVAC LICEN","HVAC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"61",0,"OUT OF AREA",NA,NA,NA,"ACDC PLUS",NA,"ELECTRICAL","ELECTRIC","ELECTRIC LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"62",6,"MCDONOUGH","JOLIET","IL",60436,"BP - BADY FUEL","46-2519604","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","GAS STATION","GAS STATN","GAS STATION LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","GAS STATION","HOSE","6 MCDONOUGH JOLIET IL 60436",-88.0817556,41.5161873,"6 mcdonough st, joliet, il 60436, usa"
